map,mode,comm,metric,n_seeds,mean,std,hedges_g_vs_none,g_ci_lo,g_ci_hi
10gen_protoss,epo,attn,test_win_rate,3,0.09375,0.01562,,,
10gen_protoss,epo,attn,mine_I_M_obs,3,3.8568,0.02714,,,
10gen_protoss,epo,attn,mine_I_M_enemy,3,0.47038,0.01359,,,
10gen_protoss,epo,attn,infonce_I_M_enemy,3,0.47688,0.00918,,,
10gen_protoss,epo,attn,hoyer_sparsity,3,0.22716,0.00376,,,
10gen_protoss,epo,attn,activation_sparsity,3,0.00153,0.0001,,,
10gen_protoss,epo,attn,gate_open_rate,3,0.9992,0.0005,,,
10gen_protoss,epo,attn,abl_zero_winrate_drop,3,-0.00521,0.03932,,,
10gen_protoss,epo,attn,abl_shuffle_winrate_drop,3,-0.02083,0.06505,,,
10gen_protoss,epo,fc,test_win_rate,3,0.10938,0.03125,,,
10gen_protoss,epo,fc,mine_I_M_obs,3,3.84076,0.05644,,,
10gen_protoss,epo,fc,mine_I_M_enemy,3,0.4793,0.01346,,,
10gen_protoss,epo,fc,infonce_I_M_enemy,3,0.4789,0.0112,,,
10gen_protoss,epo,fc,hoyer_sparsity,3,0.20994,0.00784,,,
10gen_protoss,epo,fc,activation_sparsity,3,0.00061,4e-05,,,
10gen_protoss,epo,fc,gate_open_rate,3,0.99952,0.0004,,,
10gen_protoss,epo,fc,abl_zero_winrate_drop,3,0.02604,0.01804,,,
10gen_protoss,epo,fc,abl_shuffle_winrate_drop,3,0.0,0.05634,,,
10gen_protoss,epo,gnn,test_win_rate,3,0.20312,0.05413,,,
10gen_protoss,epo,gnn,mine_I_M_obs,3,3.71449,0.20343,,,
10gen_protoss,epo,gnn,mine_I_M_enemy,3,0.48906,0.01472,,,
10gen_protoss,epo,gnn,infonce_I_M_enemy,3,0.49219,0.01734,,,
10gen_protoss,epo,gnn,hoyer_sparsity,3,0.22459,0.00263,,,
10gen_protoss,epo,gnn,activation_sparsity,3,0.00097,0.00015,,,
10gen_protoss,epo,gnn,gate_open_rate,3,0.99996,7e-05,,,
10gen_protoss,epo,gnn,abl_zero_winrate_drop,3,0.17708,0.05487,,,
10gen_protoss,epo,gnn,abl_shuffle_winrate_drop,3,0.14062,0.04134,,,
10gen_protoss,standard,attn,test_win_rate,3,0.19271,0.03253,,,
10gen_protoss,standard,attn,mine_I_M_obs,3,4.11661,0.10166,,,
10gen_protoss,standard,attn,mine_I_M_enemy,3,0.44715,0.013,,,
10gen_protoss,standard,attn,infonce_I_M_enemy,3,0.44768,0.01371,,,
10gen_protoss,standard,attn,hoyer_sparsity,3,0.22469,0.00209,,,
10gen_protoss,standard,attn,activation_sparsity,3,0.00138,5e-05,,,
10gen_protoss,standard,attn,gate_open_rate,3,0.98907,0.00673,,,
10gen_protoss,standard,attn,abl_zero_winrate_drop,3,-0.01562,0.04688,,,
10gen_protoss,standard,attn,abl_shuffle_winrate_drop,3,0.02083,0.10404,,,
10gen_protoss,standard,fc,test_win_rate,3,0.29167,0.07708,,,
10gen_protoss,standard,fc,mine_I_M_obs,3,4.06411,0.159,,,
10gen_protoss,standard,fc,mine_I_M_enemy,3,0.47007,0.0231,,,
10gen_protoss,standard,fc,infonce_I_M_enemy,3,0.47367,0.02128,,,
10gen_protoss,standard,fc,hoyer_sparsity,3,0.22078,0.00165,,,
10gen_protoss,standard,fc,activation_sparsity,3,0.00089,9e-05,,,
10gen_protoss,standard,fc,gate_open_rate,3,0.99882,0.00112,,,
10gen_protoss,standard,fc,abl_zero_winrate_drop,3,0.14583,0.10166,,,
10gen_protoss,standard,fc,abl_shuffle_winrate_drop,3,0.13542,0.09155,,,
10gen_protoss,standard,gnn,test_win_rate,3,0.1875,0.06811,,,
10gen_protoss,standard,gnn,mine_I_M_obs,3,3.98221,0.05416,,,
10gen_protoss,standard,gnn,mine_I_M_enemy,3,0.47248,0.03263,,,
10gen_protoss,standard,gnn,infonce_I_M_enemy,3,0.47804,0.02599,,,
10gen_protoss,standard,gnn,hoyer_sparsity,3,0.21507,0.00605,,,
10gen_protoss,standard,gnn,activation_sparsity,3,0.0007,9e-05,,,
10gen_protoss,standard,gnn,gate_open_rate,3,0.99993,0.00013,,,
10gen_protoss,standard,gnn,abl_zero_winrate_drop,3,0.09375,0.08119,,,
10gen_protoss,standard,gnn,abl_shuffle_winrate_drop,3,0.06771,0.05916,,,
